Work item id,Summary,Description,Issue Type,Priority,Status,Resolution,Labels,Labels,Labels,Component,Component,Parent,Reporter,Created
"HC-EPIC-01","Merchant onboarding & KYC verification","Enable new B2B merchants to register, submit business documents, and pass automated KYC before accepting payments. Target: reduce time-to-first-transaction from 5 days to under 24 hours.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","","Sarah Chen","15/01/25 10:00"
"HC-EPIC-02","Checkout, payments & settlement","Unified checkout experience supporting cards, ACH, and invoice billing with automated settlement reporting and reconciliation hooks for finance teams.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-02","Payments","Backend","","Marcus Webb","16/01/25 10:00"
"HC-EPIC-03","Order management & fulfillment","End-to-end order lifecycle: cart, payment capture, fulfillment status, refunds, and partial shipments for multi-warehouse merchants.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-03","Backend","API","","Priya Nair","17/01/25 10:00"
"HC-EPIC-04","Catalog, inventory & pricing","Product catalog with variants, tiered B2B pricing, stock reservations, and low-stock alerts integrated with ERP exports.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-04","Backend","Data","","James Okafor","18/01/25 10:00"
"HC-EPIC-05","Merchant analytics dashboard","Self-serve analytics for GMV, conversion, payment failures, and cohort retention with exportable CSV and scheduled email reports.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-05","Frontend","Data","","Elena Vasquez","19/01/25 10:00"
"HC-EPIC-06","Public API & developer platform","REST and webhook APIs for orders, payments, and catalog with OAuth apps, sandbox environments, and rate limiting.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-06","API","Backend","","Tom Bradley","20/01/25 10:00"
"HC-EPIC-07","Security, fraud & compliance","PCI scope reduction, fraud scoring, audit logging, SOC2 controls, and GDPR data subject request tooling.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-07","Security","Backend","","Sarah Chen","21/01/25 10:00"
"HC-EPIC-08","Mobile seller companion app","iOS/Android app for field sales reps to create quotes, capture signatures, and check inventory in offline-first mode.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-08","Mobile","API","","Marcus Webb","22/01/25 10:00"
"HC-001","Self-serve merchant onboarding & kyc verification wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Sarah Chen","23/01/25 10:00"
"HC-002","Webhook notifications for merchant onboarding & kyc verification status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Marcus Webb","24/01/25 10:00"
